date,description,amount,forex_ref
2026-01-12,MICROSOFT INDIAMUMBAI,-28131.73,
2026-01-12,MICROSOFT INDIAMUMBAI,-2.0,
2026-01-12,MICROSOFT INDIAMUMBAI,2.0,
2026-01-28,YOUTUBEMUMBAI,-299.0,
2026-01-29,ZOHO CORPORATIONCHENNAI,-268.47,
2026-01-30,ONLINE PYMT RECD-CIDNY911A0F0XO,284934.0,
2026-01-31,TATA AIG GENERAL INSURMUMBAI,-31041.0,
2026-02-02,CGST-VPS2603465524931-RATE 9.0 -33,-0.03,
2026-02-02,SGST-VPS2603465524931-RATE 9.0 -33,-0.03,
2026-02-02,CGST-VPS2603465524932-RATE 9.0 -33,-4.14,
2026-02-02,SGST-VPS2603465524932-RATE 9.0 -33,-4.14,
2026-02-02,AMAZON WEB SERVICESMUMBAI,-293044.46,
2026-02-03,WISPRWISPRFLOW.,-3840.0,
2026-02-04,1% on all DCC Transaction,-38.4,
2026-02-04,CGST-VPS2603668139562-RATE 9.0 -33,-3.46,
2026-02-04,SGST-VPS2603668139562-RATE 9.0 -33,-3.46,
2026-02-04,CGST-VPS2603668139563-RATE 9.0 -33,-21.49,
2026-02-04,SGST-VPS2603668139563-RATE 9.0 -33,-21.49,
2026-02-05,GAMMA.APPGAMMA.APP,-8704.0,
2026-02-05,CGST-VPS2603769609529-RATE 9.0 -33,-0.79,
2026-02-05,SGST-VPS2603769609529-RATE 9.0 -33,-0.79,
2026-02-05,MICROSOFT INDIAMUMBAI,-2395.4,
2026-02-06,1% on all DCC Transaction,-87.04,
2026-02-06,CGST-VPS2603870466426-RATE 9.0 -33,-7.83,
2026-02-06,SGST-VPS2603870466426-RATE 9.0 -33,-7.83,
2026-02-08,HATHWAY SELFCAREMUMBAI,-11151.0,
2026-02-09,CGST-VPS2604176089484-RATE 9.0 -33,-40.89,
2026-02-09,SGST-VPS2604176089484-RATE 9.0 -33,-40.89,
2026-02-11,MICROSOFT INDIAMUMBAI,-2395.4,
