date,description,amount,forex_ref
2026-01-30,BillDesk BBPS CC Payment/IF036030BAKAAAAES9QV,51119.87,
2026-02-01,"HYPERBROWSER.AI, SAN FRANCISCO [USD 30.00]",-2754.3,USD 30.00
2026-02-03,"GOOGLECLOUD, MUMBAI",-1084.7,
2026-02-03,"GOOGLECLOUD, MUMBAI",-12.01,
2026-02-03,"GOOGLEWORKSP, MUMBAI",-4748.63,
2026-02-05,"GROQ INC, MOUNTAIN VIEW [USD 1.74]",-157.23,USD 1.74
2026-02-12,"NETFLIX, MUMBAI",-649.0,
2026-02-14,"MGM HEALTHCARE MALAR, CHENNAI",-7920.0,
2026-02-14,"GOOGLEPLAY, MUMBAI",-1950.0,
2026-02-16,"MICROSOFTBUS, MUMBAI",-26802.87,
2026-02-18,"HYPERBROWSER.AI, SAN FRANCISCO",-943.16,
2026-02-21,"MGM HEALTHCARE MALAR, CHENNAI",-800.0,
2025-10-23,"UBER *TRIP HELP.UBER.C, 8005928996 [USD 152.08]",-13361.44,USD 152.08
2025-10-23,"UBER *TRIP HELP.UBER.C, 8005928996 [USD 77.90]",-6844.14,USD 77.90
2025-10-23,"CUSTCAP SOLUTIONS PRIV, MUMBAI",-79161.0,
2025-10-24,"ATLASSIAN, AMSTERDAM [USD 68.82]",-6049.98,USD 68.82
2025-10-24,"UBER *TRIP HELP.UBER.C, 8005928996 [USD 73.92]",-6498.32,USD 73.92
2025-10-27,"COCO INDIRA NAGAR, CHENNAI",-3868.46,
2025-10-29,Surcharge waiver for fuel txn,38.23,
2025-10-29,"CLAUDE.AI SUBSCRIPTION, SAN FRANCISCO [USD 200.00]",-17655.6,USD 200.00
2025-10-29,"ADYAR ANANDA BHAVAN S, CHENNAI",-289.0,
2025-10-29,"ZOHO CORPORATION PR, TIRUNELVELI",-23349.84,
2025-10-31,BillDesk BBPS CC Payment/IF035304BAJAAAAEBVW9,263893.93,
2025-11-01,"HYPERBROWSER.AI, SAN FRANCISCO [USD 30.00]",-2663.78,USD 30.00
2025-11-02,"JUNIOR KUPPANNA KITCH, CHENNAI",-1420.0,
2025-11-03,"NRI*NEW RELIC, SAN FRANCISCO [USD 0.97]",-86.08,USD 0.97
2025-11-04,"SUPABASE, SINGAPORE [USD 25.00]",-2218.63,USD 25.00
2025-11-04,"GOOGLECLOUD, MUMBAI",-1041.37,
2025-11-06,"GROQ INC, MOUNTAIN VIEW [USD 1.59]",-141.05,USD 1.59
2025-11-10,"IND*LINKEDIN (PGSI), www.linkedin.",-8400.0,
2025-11-11,"WWW NAUKRI COM, GURGAON",-1947.0,
2025-11-11,"ATLASSIAN, AMSTERDAM [USD 88.50]",-7829.42,USD 88.50
2025-11-12,"NETFLIX, MUMBAI",-649.0,
2025-11-12,"GITHUB, INC., SAN FRANCISCO [USD 76.00]",-6738.54,USD 76.00
2025-11-14,"AMAZON WEB SERVICES, MUMBAI",-380319.73,
2025-11-15,"MICROSOFTBUS, MUMBAI",-30892.4,
2025-11-16,"CLAUDE.AI SUBSCRIPTION, SAN FRANCISCO [USD 200.00]",-17742.6,USD 200.00
2025-11-17,"SFILKFC6754, KANCHIPURAM",-156.0,
2025-11-17,"SFILKFC6754, KANCHIPURAM",-1231.0,
2025-11-20,"GITHUB, INC., SAN FRANCISCO [USD 1.73]",-153.23,USD 1.73
2025-11-21,"GITHUB, INC., SAN FRANCISCO [USD 1.73]",-153.6,USD 1.73
2025-09-29,"ZOHO CORPORATION PR, TIRUNELVELI",-42480.0,
